id,codigo,nombre,departamento,municipio,distrito,direccion,latitud,longitud,telefonos,programa,modernizacion,fase,control,fila_origen_sheet,sincronizado_en,creado_en
3dba1c43-7685-4afc-9d78-05ee3c99e92e,60099,CENTRO ESCOLAR CANTÓN EL CHAGUITE,AHUACHAPÁN,AHUACHAPÁN CENTRO,TACUBA,,,,"{72503137,72503137,72503137}",,f,,f,117,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
0726cdd9-bdc6-4661-b417-5535e3d56c1e,10155,COMPLEJO EDUCATIVO CANTÓN LAS POZAS,AHUACHAPÁN,AHUACHAPÁN NORTE,SAN LORENZO,,,,"{78627154,78627154,78627154}",,f,,f,166,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
3d8a7e17-c24e-4d78-9b82-faa6baea0c6a,11025,CENTRO ESCOLAR COLONIA SAN JOSÉ LOS AMATES,AHUACHAPÁN,AHUACHAPÁN NORTE,SAN LORENZO,,,,"{78032265,78032265,78032265}",,f,,f,167,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
e86c8355-d1e4-4a21-8a8d-7c60cf9ee245,10178,CENTRO ESCOLAR CANTÓN EL JOBO,AHUACHAPÁN,AHUACHAPÁN NORTE,TURÍN,,,,"{79514216,79514216,79514216}",,f,,f,174,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
0c3ee5ec-548f-4670-a5f7-0bdf1c4f5318,10179,ESCUELA DE EDUCACION PARVULARIA REPUBLICA DE ALEMANIA,AHUACHAPÁN,AHUACHAPÁN NORTE,TURÍN,,,,"{""no recibió"",78407605,78407605}",,f,,f,175,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
6ca121d0-debe-4267-8a76-300aa5ec1cb9,10157,CENTRO ESCOLAR CANTON EL CORTEZ,AHUACHAPÁN,AHUACHAPÁN SUR,SAN PEDRO PUXTLA,,,,"{72272383,60695155}",,f,,f,273,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
63a3afd1-096f-4548-a89f-3737d7ea6245,60079,CENTRO ESCOLAR CANTÓN PULULAPA,AHUACHAPÁN,AHUACHAPÁN SUR,SAN PEDRO PUXTLA,,,,"{72272420,72272420,72272420}",,f,,f,275,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
ed91a1b7-2c38-46c1-929f-a06e25eea3fb,60081,CENTRO ESCOLAR CANTÓN EL DURAZNO,AHUACHAPÁN,AHUACHAPÁN SUR,SAN PEDRO PUXTLA,,,,"{78035539,78035539,78035539}",,f,,f,276,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
f5e8d1ef-694e-435f-97ed-148eb51c1053,10848,"CENTRO ESCOLAR CASERIO LA COYOTERA, CANTON SANTA BARBARA",CHALATENANGO,CHALATENANGO CENTRO,EL PARAÍSO,,,,"{72489924,72489924}",,f,,f,583,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
75758330-d65b-436c-b883-8f4364810f57,60223,"CENTRO ESCOLAR CASERÍO CAÑITAS, CANTÓN TEOSINTE",CHALATENANGO,CHALATENANGO CENTRO,SAN FRANCISCO MORAZÁN,,,,"{72510009,72510009,72510009}",,f,,f,677,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
1064d3e3-1619-417c-877c-4c3ab5799107,86219,CENTRO ESCOLAR CANTÓN GUARJILA,CHALATENANGO,CHALATENANGO SUR,CHALATENANGO,,,,"{72501219,72501219,72501219}",,f,,f,834,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
98e8ad5f-1cb2-435c-b2ea-a9dbf84a102c,10782,CENTRO ESCOLAR CANTON BARILLAS,CHALATENANGO,CHALATENANGO SUR,COMALAPA,,,,"{72614013,72614013,72614013}",,f,,f,842,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
63a61c00-8a4d-4e71-b9aa-6efd1bba9220,10783,CENTRO ESCOLAR CANTON CANDELARIA,CHALATENANGO,CHALATENANGO SUR,COMALAPA,,,,"{72595063,72595063,72595063}",,f,,f,843,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
864a716e-d848-4d12-9073-318955cbebc8,10784,ESCUELA DE EDUCACION PARVULARIA  DE COMALAPA,CHALATENANGO,CHALATENANGO SUR,COMALAPA,,,,"{75188052,75188052}",,f,,f,844,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
